SEQ_ARTICULO,ARTICULO,REF_ALTERNATIVA,SEQ_CLIPRO,GRUPO,FAMILIA,SUBFAMILIA,FABRICANTE,NOMBRE,NOMBRE_ABR,NOMBRE_PRO,TIPO_ALMACEN,TIPO_IVA,IMPORTACION,DTO_CIAL,FEC_ALTA,FEC_BAJA,FEC_BAJA_COM,COD_BARRA,COD_BCAJA,UDS_ENV,UDS_MINIMA,PESO_UNIDAD,PESO_CAJA,UNID_PALET,PESO_PALET,FORMATO,ATR1_FORMATO,ATR2_FORMATO,ATR3_FORMATO,ATR4_FORMATO,ATR5_FORMATO,ATR6_FORMATO,CLAVE_DTO,DTO_FIJO,STOCK,MARGEN,CTA_VENTAS,CTA_COMPRAS,OBSER,SEQ_MARGEN,UNID_MEDIDA,NUM_PLANO,COD_CATEGORIA,GRUPED,ART_RAPEL,GRUPOFAB,STOCKPROV,UGV,SUBIDA,IMAGEN,NWPROD,LOTE,MP CAMISA,MP VASTAGO,MP VARILLAS,MP CABEZA PISTON,MP TAPA TRASERA,MP TAPA GUIA,DIM CAMISA,DIM VASTAGO,DIM VARILLAS,DIM CABEZA PISTON,DIM TAPA TRASERA,DIM TAPA GUIA,ALTA TEMPERATURA,AMORTIGUACION,CARRERA,DIAMETRO,AMARRE 0,AMARRE 1,EXTRA 1,AMARRE 2,EXTRA 2,AMARRE 3,AMARRE 4,AMARRE 5,EXTRA 3,AMARRE 6,EXTRA 4,EXTRA 5,EXTRA 6,EXTRA 7,EXTRA 8,EXTRA 9,AMARRE 7,AMARRE 8,AMARRE 9,KIT,AMARRE 10
201123,ES10A300P673,ES10A300P673,,5,140,,,CIL ES10A300P673,CIL ES10A300P673,,1,2,,,11/01/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,CROMADO,F-2111,MP,ACERO,ACERO,100,35,10,1,648000,1224000,1,1,300.0,100.0,ZUNCHO,,,,,,,,,,,,,,,,,,,,
201136,ES25A450P674,ES25A450P674,,5,140,,,CIL ES25A450P674,CIL ES25A450P674,,1,2,,,12/01/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,PERFORADA,ACERO,NO,ACERO,ACERO,ACERO,66308,1980000,NO,14300,4537500,7562500,0,1,450.0,250.0,,,,,,,,,,,,,,,,,,,,,
201171,7025N450P679,7025N450P679,,5,140,,,CIL 7025N450P679,CIL 7025N450P679,,1,2,,,14/01/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,ACERO,F-2111,MP,MP,MP,250,50,20,1,1,1,0,1,450.0,250.0,HORQUILLA,CONTRATUERCA,VARILLA,,,,,,,,,,,,,,,,,,
201180,ES15A231P677,ES15A231P677,,5,140,,,CIL ES15A231P677,CIL ES15A231P677,,1,2,,,15/01/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ACERO,ACERO,NO,ACERO,ACERO,ACERO,25500,40,NO,6200,1445000,2312000,1,1,231.0,150.0,,,,,,,,,,,,,,,,,,,,,
201190,ES10A120P678,ES100A0120P678,,5,140,,,CIL ES100A0120P678,CIL ES100A0120P678,,1,2,,,15/01/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ACERO,ACERO,F-2111,ACERO,ACERO,ACERO,300,25,10,3675,576000,936000,0,1,120.0,100.0,BULON,,,,,,,,,,,,,,,,,,,,
201232,7010A450P680,7010A450P680,,5,140,,,CIL 7010A450P680,CIL 7010A450P680,,1,2,,,18/01/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,ACERO,F-2111,MP,MP,MP,100,20,10,1,1,1,0,0,450.0,100.0,CONTRATUERCA,SOPORTE,VASTAGO,SOPORTE,VARILLA,,,,,,,,,,,,,,,,
201239,7010A700P681,7010A700P681,,5,140,,,CIL 7010A700P681,CIL 7010A700P681,,1,2,,,18/01/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,ACERO,F-2111,COMPRADO,MP,MP,100,20,10,1,1,1,0,0,700.0,100.0,CONTRATUERCA,SOPORTE,VASTAGO,SOPORTE,VARILLA,,,,,,,,,,,,,,,,
201247,2016A900P650,20160A0900P650,,5,140,,,CIL 20160A0900P650,CIL 20160A0900P650,,1,2,,,18/01/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,ACERO,F-2111,MP,MP,MP,160,40,16,1,1,1,0,0,900.0,160.0,CONTRATUERCA,,,,,,,,,,,,,,,,,,,,
201251,2012A300P653,2012A300P653,,5,140,,,CIL 2012A300P653,CIL 2012A300P653,,1,2,,,18/01/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,ACERO,F-2111,MP,MP,MP,16500,30,12,1,1,1,0,0,300.0,125.0,ARTICULACION HEMBRA,ARTICULACION MACHO,,HORQUILLA,,BULON,BULON,CONTRATUERCA,,,,,,,,,,,,,
201254,2020A550P652,2020A550P652,,5,140,,,CIL 2020A550P652,CIL 2020A550P652,,1,2,,,18/01/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,ACERO,F-2111,MP,MP,MP,42000,40,16,1,1,1,0,0,550.0,200.0,BRIDA,CONTRATUERCA,,,,,,,,,,,,,,,,,,,
201302,2010A035P683,2010A035P683,,5,140,,,CIL 2010A035P683,CIL 2010A035P683,,1,2,,,25/01/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ACERO,ACERO,F-2111,MP,MP,MP,300,30,10,1,1,1,0,0,35.0,100.0,ARTICULACION HEMBRA,CONTRATUERCA,,,,,,,,,,,,,,,,,,,
201306,ES10A120P682,ES10A120P682,,5,140,,,CIL ES10A120P682,CIL ES10A120P682,,1,2,,,26/01/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,ACERO,F-2111,ALUMINIO,ACERO,ACERO,100,25,10,110,576000,936000,0,1,120.0,100.0,BULON,,,,,,,,,,,,,,,,,,,,
201312,2012N300P684,2012N300P684,,5,140,,,CIL 2012N300P684,CIL 2012N300P684,,1,2,,,27/01/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ACERO,ACERO,F-2111,MP,MP,MP,375,30,12,1,1,1,0,1,300.0,125.0,ARTICULACION HEMBRA,ARTICULACION MACHO,,HORQUILLA,,BULON,BULON,CONTRATUERCA,,,,,,,,,,,,,
201335,2010A250P686,2010A250P686,,5,140,,,CIL 2010A250P686,CIL 2010A250P686,,1,2,,,01/02/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ACERO,ACERO,F-2111,MP,MP,ACERO,300,40,10,1,1,1224000,0,1,250.0,100.0,FUELLE,CONTRATUERCA,,FUELLE,,,,,,,,,,,,,,,,,
201386,ES06N560P685,ES06N560P685,,5,140,,,CIL ES06N560P685,CIL ES06N560P685,,1,2,,,04/02/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ACERO,ACERO,F-2111,ACERO,ACERO,ACERO,63,20,1,1950,480000,640000,0,0,560.0,63.0,CONTRATUERCA,,,,,,,,,,,,,,,,,,,,
201443,2012A200P688,2012A200P688,,5,140,,,CIL 2012A200P688,CIL 2012A200P688,,1,2,,,10/02/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,ACERO,F-2111,MP,MP,MP,16500,30,12,1,1,1,0,0,200.0,125.0,CONTRATUERCA,,,,,,,,,,,,,,,,,,,,
201481,2010A750P689,2010A750P689,,5,140,,,CIL 2010A750P689,CIL 2010A750P689,,1,2,,,15/02/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,ACERO,F-2111,MP,MP,ACERO,100,25,10,1,1,1440000,1,1,750.0,100.0,BRIDA,BULON,,SOPORTE,,CONTRATUERCA,HORQUILLA,,,,,,,,,,,,,,
201484,ES20N300P690,ES20N300P690,,5,140,,,CIL ES20N300P690,CIL ES20N300P690,,1,2,,,17/02/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ACERO,ACERO,F-2111,MP,NO,ACERO,1000,40,16,1,NO,5315625,0,0,300.0,200.0,CONTRATUERCA,,TAPA GUIA,,,,,,,,,,,,,,,,,,
201488,ES20N140P691,ES20N140P691,,5,140,,,CIL ES20N140P691,CIL ES20N140P691,,1,2,,,17/02/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ACERO,ACERO,F-2111,MP,NO,ACERO,1000,40,16,1,NO,5315625,0,0,140.0,200.0,CONTRATUERCA,,TAPA GUIA,,,,,,,,,,,,,,,,,,
201520,2006A050P695,2006A050P695,,5,140,,,CIL 2006A050P695,CIL 2006A050P695,,1,2,,,23/02/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ACERO,INOX,NO,ALUMINIO,INOX,INOX,4200,22,NO,1,3000,6000,0,1,50.0,60.0,HORQUILLA,CONTRATUERCA,,,,,,,,,,,,,,,,,,,
201537,7505A075P698,7505A075P698,,5,140,,,CIL 7505A075P698,CIL 7505A075P698,,1,2,,,24/02/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,ACERO,NO,COMPRADO,MP,MP,150,20,NO,,1,1,0,1,75.0,50.0,CONTRATUERCA,,,,,,,,,,,,,,,,,,,,
201570,ES10A114P699,ES10A114P699,,5,140,,,CIL ES10A114P699,CIL ES10A114P699,,1,2,,,26/02/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ACERO,ACERO,F-2111,ACERO,ACERO,MP,300,25,10,3675,648000,1,1,1,114.0,100.0,CONTRATUERCA,,,,,,,,,,,,,,,,,,,,
201576,7012A820P700,7012A820P700,,5,140,,,CIL 7012A820P700,CIL 7012A820P700,,1,2,,,01/03/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,2.0,,,,,ALUMINIO,ACERO,F-2111,MP,MP,MP,16500,32,12,1,1,1,0,0,820.0,125.0,CONTRATUERCA,ZUNCHO,VARILLA,ROTULA,,,,,,,,,,,,,,,,,
201582,7016A180P701,7016A180P701,,5,140,,,CIL 7016A180P701,CIL 7016A180P701,,1,2,,,01/03/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,2.0,,,,,ALUMINIO,ACERO,F-2111,MP,MP,MP,160,40,16,1,1,1,0,0,180.0,160.0,CONTRATUERCA,SOPORTE,VARILLA,ROTULA,,,,,,,,,,,,,,,,,
201590,7005A170P702,7005A170P702,,5,140,,,CIL 7005A170P702,CIL 7005A170P702,,1,2,,,03/03/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,ACERO,F-2111,COMPRADO,MP,MP,2700,20,8,,1,1,0,1,170.0,50.0,,,VARILLA,,,,,,,,,,,,,,,,,,
201592,7020A115P703,7020A115P703,,5,140,,,CIL 7020A115P703,CIL 7020A115P703,,1,2,,,04/03/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,ACERO,F-2111,MP,MP,MP,42000,40,16,1,1,1,0,0,115.0,200.0,CONTRATUERCA,SOPORTE,VARILLA,ROTULA,,,,,,,,,,,,,,,,,
201593,7020AK20P704,7020AK20P704,,5,140,,,CIL 7020AK20P704,CIL 7020AK20P704,,1,2,,,04/03/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,ACERO,F-2111,MP,MP,MP,42000,40,16,1,1,1,0,0,1905.9999999999998,200.0,CONTRATUERCA,ZUNCHO,VARILLA,,,,,,,,,,,,,,,,,,
201625,ES16AC80P705,ES16AC80P705,,5,140,,,CIL ES16AC80P705,CIL ES16AC80P705,,1,2,,,09/03/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,ALUMINIO,ACERO,NO,ALUMINIO,ACERO,ACERO,160,40,NO,170,2268000,3564000,0,1,1306.0,160.0,CONTRATUERCA,ROTULA,,ZUNCHO,,,,,,,,,,,,,,,,,
201663,ES25A080P706,ES25A080P706,,5,140,,,CIL ES25A080P706,CIL ES25A080P706,,1,2,,,16/03/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,PERFORADA,ACERO,NO,ACERO,ACERO,ACERO,66308,50,NO,16120,5096000,8624000,0,1,80.0,250.0,ZUNCHO,CONTRATUERCA,,,,,,,,,,,,,,,,,,,
201678,ES25A080P707,ES25A080P707,,5,140,,,CIL ES25A080P707,CIL ES25A080P707,,1,2,,,16/03/1999 0:00,,,,,1.0,,,,,,,,,,,,,,,S,,,,,,,,2,1,,1.0,,1.0,,,,,PERFORADA,ACERO,NO,ACERO,ACERO,ACERO,66308,70,NO,16120,5096000,8624000,0,1,80.0,250.0,CONTRATUERCA,BRIDA,,,,,,,,,,,,,,,,,,,
