SEQ_ARTICULO,ARTICULO,REF_ALTERNATIVA,SEQ_CLIPRO,GRUPO,FAMILIA,SUBFAMILIA,FABRICANTE,NOMBRE,NOMBRE_ABR,NOMBRE_PRO,TIPO_ALMACEN,TIPO_IVA,IMPORTACION,DTO_CIAL,FEC_ALTA,FEC_BAJA,FEC_BAJA_COM,COD_BARRA,COD_BCAJA,UDS_ENV,UDS_MINIMA,PESO_UNIDAD,PESO_CAJA,UNID_PALET,PESO_PALET,FORMATO,ATR1_FORMATO,ATR2_FORMATO,ATR3_FORMATO,ATR4_FORMATO,ATR5_FORMATO,ATR6_FORMATO,CLAVE_DTO,DTO_FIJO,STOCK,MARGEN,CTA_VENTAS,CTA_COMPRAS,OBSER,SEQ_MARGEN,UNID_MEDIDA,NUM_PLANO,COD_CATEGORIA,GRUPED,ART_RAPEL,GRUPOFAB,STOCKPROV,UGV,SUBIDA,IMAGEN,NWPROD,LOTE,MP CAMISA,MP VASTAGO,MP VARILLAS,MP CABEZA PISTON,MP TAPA GUIA,MP TAPA TRASERA,DIM CAMISA,DIM VASTAGO,DIM VARILLAS,DIM CABEZA PISTON,DIM TAPA GUIA,DIM TAPA TRASERA
217725,7012A350P117,7012A350P117,,5,140,,,CIL 7012A350P117,CIL 7012A350P117,,1,2,,,01/06/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
217726,7016A350P118,70160A0350P118,,5,140,,,CIL 70160A0350P118,CIL 70160A0350P118,,1,2,,,01/06/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
217747,2012A200P119,2012A200P119,,5,140,,,CIL 2012A200P119,CIL 2012A200P119,,1,2,,,06/06/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
217749,7020A500P122,70200A0500P122,,5,140,,,CIL 70200A0500P122,CIL 70200A0500P122,,1,2,,,07/06/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,"ISO estándar mag., 2 Detectores y Soportes, Tirantes varilla roscada, Cab. Rótula, Zuncho, Sop. Zuncho, Bulón B70AT16",,,,2,1,,1.0,,1.0,,,,,,,,,,,,,,,,
217758,2012A140P123,2012A140P123,,5,140,,,CIL 2012A140P123,CIL 2012A140P123,,1,2,,,12/06/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,2.0,,,,,,,,,,,,,,,,
217759,2012A280P124,2012A280P124,,5,140,,,CIL 2012A280P124,CIL 2012A280P124,,1,2,,,12/06/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,2.0,,,,,,,,,,,,,,,,
217760,2012A200P125,2012A200P125,,5,140,,,CIL 2012A200P125,CIL 2012A200P125,,1,2,,,12/06/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,2.0,,,,,,,,,,,,,,,,
217761,2012A260P126,2012A260P126,,5,140,,,CIL 2012A260P126,CIL 2012A260P126,,1,2,,,12/06/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,2.0,,,,,,,,,,,,,,,,
217762,2016A270P127,2016A270P127,,5,140,,,CIL 2016A270P127,CIL 2016A270P127,,1,2,,,12/06/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,2.0,,,,,,,,,,,,,,,,
217763,2010A300P128,2010A300P128,,5,140,,,CIL 2010A300P128,CIL 2010A300P128,,1,2,,,12/06/2001 0:00,,,,,1.0,1.0,,,,,,,,,,,,,N,S,,,,,,,,2,1,,1.0,,2.0,,,,,,,,,,,,,,,,
