SEQ_CONJ;NIVEL_ALT;SEQ_ARTICULO;DESCRIPCION;VERIFICADO
363953;0;233931;VASTAGO S/P 40.516/01B;s
363954;0;233932;CABEZA DE PISTON S/P 40.516/02;s
363955;0;233934;TAPA GUIA S/P 40.516/03;s
363956;0;200888;TIRANTE S/P 20.657/06;s
363957;0;233935;LIMITADOR S/P 40.516/04;s
363958;0;233936;CIL 20300N0400P525;s
363959;0;233938;TAPA TRASERA S/P 40.525/01;s
363960;0;233939;CIL A77D050A0100M;n
363961;0;233434;CIL A80D040A0125;s
363962;0;233940;TIRANTE S/P 80DA04A.C-125;s
363963;0;233941;TIRANTE S/P 70DA1012.L-77;s
363964;0;233942;JUEGO REP KR125P500;s
363965;0;233948;TIRANTE S/P 80DA0412.L-0046;s
363966;0;233949;TIRANTE S/P 80DA0412.L-0157;s
363967;0;233950;CIL A76A050A0100;s
363968;0;233951;CAMISA S/P 76B05A.C-100;s
363969;0;233952;CAMISA S/P 76BA05A.C-100;s
363978;0;233961;CAMISA S/P 76BA05A.C-160;s
363979;0;233960;CIL A76A050A0160;s
363980;0;233963;CIL A76A080A0350;s
363981;0;233964;CAMISA S/P 76BA08A.C-350;s
363982;0;233968;PANEL NEUMATICO REF. A11L10P234;s
363983;0;233969;BULON S/P B70AU10ISO;s
363984;0;233971;CONJUNTO BULON G70AU10ISO;s
363985;0;233974;CIL 70160A0700P519;s
363986;0;233980;CIL MS100A0240;s
363987;0;233981;TIRANTE S/P 29.10.C- 240;s
363988;0;233982;CIL 20100AT0250P527;s
363989;0;233983;TUBO ENTRADA 12-0645/01;n
363990;0;233989;CAMISA S/P 17.10.C-320;s
363991;0;233988;CIL 05LS100A320M;s
363992;0;233990;VASTAGO S/P 58.10.C-320;s
363993;0;233312;CIL 80080A0350P465;s
363994;0;234000;CIL A70C100A0040;s
363995;0;234001;VASTAGO S/P 70CA10B.C-40;s
363996;0;233909;CIL 70100A0050P521;s
363997;0;233996;MONTAJE EXTERIOR REF. A10L10P214;s
363998;0;234004;CIL MS250A0270;s
363999;0;234005;CAMISA S/P 27.25.C-270;s
364000;0;234006;VASTAGO S/P 28.25.C-270;s
364001;0;234007;TIRANTE S/P 29.25.C-270;s
364002;0;234008;TIRANTE S/P 29.25.LOG-208;s
364003;0;234009;TIRANTE S/P 29.25.LOG-407;s
364004;0;234015;CIL 04MS063A0600;s
364005;0;234016;CIL 70250N1000P535;s
364006;0;196366;VASTAGO S/P 70CA25B C-1000;s
364007;0;196382;TIRANTE S/P 70DA25B.C-1000;s
364008;0;234023;TAPA GUIA S/P 20.176/04/01;s
364009;0;234027;CIL 40LS125A0175;s
364010;0;234028;CAMISA S/P 17.12.C- 175;s
364011;0;234029;VASTAGO INOX. S/P 40.28.10.C-175;s
364012;0;234032;VASTAGO S/P 58.10.C-230;s
364013;0;234033;MATERIAL SUELTO MONTAJE PARA A10L10P214;s
364014;0;234042;CIL A80C050A0125;s
364015;0;234043;CAMISA S/P 80BA05A.C-125;s
364016;0;234044;VASTAGO S/P 80CA05A.C-125;s
364017;0;234045;TIRANTE S/P 80DA05A.C-125;n
364018;0;234047;VASTAGO S/P 80CA05B.C-125;s
364019;0;234053;SEGMENTO GUIA D.200X2 L=25;s
364020;0;234051;JUEGO REP KR200P800;s
364021;0;234057;VASTAGO S/P 40.540/01;s
364022;0;234061;TIRANTE S/P 29.16.C-164;s
364023;0;234064;TIRANTE S/P 49.16.C-0080;s
364024;0;234088;CAMISA S/P 76BA06A.C-500;s
364025;0;234087;CIL A76A063A0500;s
364026;0;234090;VASTAGO S/P 80CA06B.C-500;s
364027;0;234086;CAMISA S/P 27.16.C-587;s
364028;0;234101;TIRANTE S/P 80DA05A.C-0028;s
364029;0;234102;TIRANTE S/P 80DA05A.C-0172;s
364030;0;234104;CASQUILLO GUIA S/P 40.541/02;s
364031;0;234106;CASQUILLO GUIA S/P 40.541/03;s
364032;0;234108;VASTAGO S/P 40.541/04;s
364033;0;222225;CIL A70C160A0200M;s
364051;0;234139;MOTOR VA2J + 2 SIL.(UN GIRO);n
364052;0;234140;TIRANTE S/P 70DA10A.LOG-683;s
